Disdyakis Triacontahedron

C0 = 1.17518645301134929748244365923  = 3 * (15 + sqrt(5)) / 44
C1 = 1.38196601125010515179541316563  = (5 - sqrt(5)) / 2
C2 = 1.901491624090794379859549273853 = 3 * (5 + 4 * sqrt(5)) / 22
C3 = 2.17082039324993690892275210062  = 3 * (5 + sqrt(5)) / 10
C4 = 2.23606797749978969640917366873  = sqrt(5)
C5 = 3.07667807710214367734199293309  = (75 + 27 * sqrt(5)) / 44
C6 = 3.51246117974981072676825630186  = (15 + 9 * sqrt(5)) / 10
C7 = 3.61803398874989484820458683437  = (5 + sqrt(5)) / 2
C8 = 3.80298324818158875971909854771  = 3 * (5 + 4 * sqrt(5)) / 11

V0  = (0.0, 0.0,  C8)
V1  = (0.0, 0.0, -C8)
V2  = ( C8, 0.0, 0.0)
V3  = (-C8, 0.0, 0.0)
V4  = (0.0,  C8, 0.0)
V5  = (0.0, -C8, 0.0)
V6  = (0.0,  C1,  C7)
V7  = (0.0,  C1, -C7)
V8  = (0.0, -C1,  C7)
V9  = (0.0, -C1, -C7)
V10 = ( C7, 0.0,  C1)
V11 = ( C7, 0.0, -C1)
V12 = (-C7, 0.0,  C1)
V13 = (-C7, 0.0, -C1)
V14 = ( C1,  C7, 0.0)
V15 = ( C1, -C7, 0.0)
V16 = (-C1,  C7, 0.0)
V17 = (-C1, -C7, 0.0)
V18 = ( C3, 0.0,  C6)
V19 = ( C3, 0.0, -C6)
V20 = (-C3, 0.0,  C6)
V21 = (-C3, 0.0, -C6)
V22 = ( C6,  C3, 0.0)
V23 = ( C6, -C3, 0.0)
V24 = (-C6,  C3, 0.0)
V25 = (-C6, -C3, 0.0)
V26 = (0.0,  C6,  C3)
V27 = (0.0,  C6, -C3)
V28 = (0.0, -C6,  C3)
V29 = (0.0, -C6, -C3)
V30 = ( C0,  C2,  C5)
V31 = ( C0,  C2, -C5)
V32 = ( C0, -C2,  C5)
V33 = ( C0, -C2, -C5)
V34 = (-C0,  C2,  C5)
V35 = (-C0,  C2, -C5)
V36 = (-C0, -C2,  C5)
V37 = (-C0, -C2, -C5)
V38 = ( C5,  C0,  C2)
V39 = ( C5,  C0, -C2)
V40 = ( C5, -C0,  C2)
V41 = ( C5, -C0, -C2)
