Dual Geodesic Icosahedron Pattern 7 [4,0]

C0  = 0.0755719619866930616042238442956
C1  = 0.0895792795965400872624314859396
C2  = 0.122278003090984402361945984354
C3  = 0.154508497187473712051146708591 = (sqrt(5) - 1) / 8
C4  = 0.156462870542631385951463886547
C5  = 0.158429604302818162430319575086
C6  = 0.169373987128237748308754038171
C7  = 0.181431896627637137918075428653
C8  = 0.274052867983575871675489042319
C9  = 0.299450816262405540721570399664
C10 = 0.307217069317915694009431781266
C11 = 0.310971367730105098002610595139
C12 = 0.339579279596540087262431485940
C13 = 0.358324284855891260915703384198
C14 = 0.394942319074931828670423691073
C15 = 0.434398161089278754972732397662
C16 = 0.437776381213793512983811765946
C17 = 0.451992579689692476293861419717
C18 = 0.455913686805036926673034286211
C19 = 0.549907459973030688929278181923
C20 = 0.556676164180263157334678382017
C21 = 0.579780871891331277393809788682
C22 = 0.5812699373014915656849208235851
C23 = 0.592741522111892373242666256796
C24 = 0.632248126166956218938902226312
C25 = 0.648104561590284114650658461929
C26 = 0.666461647208757816096639073538
C27 = 0.705913686805036926673034286211
C28 = 0.708337064275848851359597757009
C29 = 0.750643924429729313993674861756
C30 = 0.771140528064095939463374077686
C31 = 0.778442951279598132626825227963
C32 = 0.795492966401577013935465772151
C33 = 0.802613058777757826701805170521
C34 = 0.825148992383889473384547368022
C35 = 0.889768960903485989277673185662
C36 = 0.892192338374297913964236656460
C37 = 0.900720954370582534988771212317
C38 = 0.938105156747222538309513172880
C39 = 0.940514515192333687772128115857
C40 = 0.987683841186824201913089947869

V0   = ( 0.0,   C7,  C40)
V1   = ( 0.0,   C7, -C40)
V2   = ( 0.0,  -C7,  C40)
V3   = ( 0.0,  -C7, -C40)
V4   = ( C40,  0.0,   C7)
V5   = ( C40,  0.0,  -C7)
V6   = (-C40,  0.0,   C7)
V7   = (-C40,  0.0,  -C7)
V8   = (  C7,  C40,  0.0)
V9   = (  C7, -C40,  0.0)
V10  = ( -C7,  C40,  0.0)
V11  = ( -C7, -C40,  0.0)
V12  = (  C4,   C1,  C40)
V13  = (  C4,   C1, -C40)
V14  = (  C4,  -C1,  C40)
V15  = (  C4,  -C1, -C40)
V16  = ( -C4,   C1,  C40)
V17  = ( -C4,   C1, -C40)
V18  = ( -C4,  -C1,  C40)
V19  = ( -C4,  -C1, -C40)
V20  = ( C40,   C4,   C1)
V21  = ( C40,   C4,  -C1)
V22  = ( C40,  -C4,   C1)
V23  = ( C40,  -C4,  -C1)
V24  = (-C40,   C4,   C1)
V25  = (-C40,   C4,  -C1)
V26  = (-C40,  -C4,   C1)
V27  = (-C40,  -C4,  -C1)
V28  = (  C1,  C40,   C4)
V29  = (  C1,  C40,  -C4)
V30  = (  C1, -C40,   C4)
V31  = (  C1, -C40,  -C4)
V32  = ( -C1,  C40,   C4)
V33  = ( -C1,  C40,  -C4)
V34  = ( -C1, -C40,   C4)
V35  = ( -C1, -C40,  -C4)
V36  = ( C10,   C6,  C39)
V37  = ( C10,   C6, -C39)
V38  = ( C10,  -C6,  C39)
V39  = ( C10,  -C6, -C39)
V40  = (-C10,   C6,  C39)
V41  = (-C10,   C6, -C39)
V42  = (-C10,  -C6,  C39)
V43  = (-C10,  -C6, -C39)
V44  = ( C39,  C10,   C6)
V45  = ( C39,  C10,  -C6)
V46  = ( C39, -C10,   C6)
V47  = ( C39, -C10,  -C6)
V48  = (-C39,  C10,   C6)
V49  = (-C39,  C10,  -C6)
V50  = (-C39, -C10,   C6)
V51  = (-C39, -C10,  -C6)
V52  = (  C6,  C39,  C10)
V53  = (  C6,  C39, -C10)
V54  = (  C6, -C39,  C10)
V55  = (  C6, -C39, -C10)
V56  = ( -C6,  C39,  C10)
V57  = ( -C6,  C39, -C10)
V58  = ( -C6, -C39,  C10)
V59  = ( -C6, -C39, -C10)
V60  = ( 0.0,  C13,  C38)
V61  = ( 0.0,  C13, -C38)
V62  = ( 0.0, -C13,  C38)
V63  = ( 0.0, -C13, -C38)
V64  = ( C38,  0.0,  C13)
V65  = ( C38,  0.0, -C13)
V66  = (-C38,  0.0,  C13)
V67  = (-C38,  0.0, -C13)
V68  = ( C13,  C38,  0.0)
V69  = ( C13, -C38,  0.0)
V70  = (-C13,  C38,  0.0)
V71  = (-C13, -C38,  0.0)
V72  = ( C15,   C0,  C37)
V73  = ( C15,   C0, -C37)
V74  = ( C15,  -C0,  C37)
V75  = ( C15,  -C0, -C37)
V76  = (-C15,   C0,  C37)
V77  = (-C15,   C0, -C37)
V78  = (-C15,  -C0,  C37)
V79  = (-C15,  -C0, -C37)
V80  = ( C37,  C15,   C0)
V81  = ( C37,  C15,  -C0)
V82  = ( C37, -C15,   C0)
V83  = ( C37, -C15,  -C0)
V84  = (-C37,  C15,   C0)
V85  = (-C37,  C15,  -C0)
V86  = (-C37, -C15,   C0)
V87  = (-C37, -C15,  -C0)
V88  = (  C0,  C37,  C15)
V89  = (  C0,  C37, -C15)
V90  = (  C0, -C37,  C15)
V91  = (  C0, -C37, -C15)
V92  = ( -C0,  C37,  C15)
V93  = ( -C0,  C37, -C15)
V94  = ( -C0, -C37,  C15)
V95  = ( -C0, -C37, -C15)
V96  = ( C11,  C12,  C36)
V97  = ( C11,  C12, -C36)
V98  = ( C11, -C12,  C36)
V99  = ( C11, -C12, -C36)
V100 = (-C11,  C12,  C36)
V101 = (-C11,  C12, -C36)
V102 = (-C11, -C12,  C36)
V103 = (-C11, -C12, -C36)
V104 = ( C36,  C11,  C12)
V105 = ( C36,  C11, -C12)
V106 = ( C36, -C11,  C12)
V107 = ( C36, -C11, -C12)
V108 = (-C36,  C11,  C12)
V109 = (-C36,  C11, -C12)
V110 = (-C36, -C11,  C12)
V111 = (-C36, -C11, -C12)
V112 = ( C12,  C36,  C11)
V113 = ( C12,  C36, -C11)
V114 = ( C12, -C36,  C11)
V115 = ( C12, -C36, -C11)
V116 = (-C12,  C36,  C11)
V117 = (-C12,  C36, -C11)
V118 = (-C12, -C36,  C11)
V119 = (-C12, -C36, -C11)
V120 = (  C5,  C16,  C35)
V121 = (  C5,  C16, -C35)
V122 = (  C5, -C16,  C35)
V123 = (  C5, -C16, -C35)
V124 = ( -C5,  C16,  C35)
V125 = ( -C5,  C16, -C35)
V126 = ( -C5, -C16,  C35)
V127 = ( -C5, -C16, -C35)
V128 = ( C35,   C5,  C16)
V129 = ( C35,   C5, -C16)
V130 = ( C35,  -C5,  C16)
V131 = ( C35,  -C5, -C16)
V132 = (-C35,   C5,  C16)
V133 = (-C35,   C5, -C16)
V134 = (-C35,  -C5,  C16)
V135 = (-C35,  -C5, -C16)
V136 = ( C16,  C35,   C5)
V137 = ( C16,  C35,  -C5)
V138 = ( C16, -C35,   C5)
V139 = ( C16, -C35,  -C5)
V140 = (-C16,  C35,   C5)
V141 = (-C16,  C35,  -C5)
V142 = (-C16, -C35,   C5)
V143 = (-C16, -C35,  -C5)
V144 = ( C20,   C2,  C34)
V145 = ( C20,   C2, -C34)
V146 = ( C20,  -C2,  C34)
V147 = ( C20,  -C2, -C34)
V148 = (-C20,   C2,  C34)
V149 = (-C20,   C2, -C34)
V150 = (-C20,  -C2,  C34)
V151 = (-C20,  -C2, -C34)
V152 = ( C34,  C20,   C2)
V153 = ( C34,  C20,  -C2)
V154 = ( C34, -C20,   C2)
V155 = ( C34, -C20,  -C2)
V156 = (-C34,  C20,   C2)
V157 = (-C34,  C20,  -C2)
V158 = (-C34, -C20,   C2)
V159 = (-C34, -C20,  -C2)
V160 = (  C2,  C34,  C20)
V161 = (  C2,  C34, -C20)
V162 = (  C2, -C34,  C20)
V163 = (  C2, -C34, -C20)
V164 = ( -C2,  C34,  C20)
V165 = ( -C2,  C34, -C20)
V166 = ( -C2, -C34,  C20)
V167 = ( -C2, -C34, -C20)
V168 = ( C18,  C14,  C33)
V169 = ( C18,  C14, -C33)
V170 = ( C18, -C14,  C33)
V171 = ( C18, -C14, -C33)
V172 = (-C18,  C14,  C33)
V173 = (-C18,  C14, -C33)
V174 = (-C18, -C14,  C33)
V175 = (-C18, -C14, -C33)
V176 = ( C33,  C18,  C14)
V177 = ( C33,  C18, -C14)
V178 = ( C33, -C18,  C14)
V179 = ( C33, -C18, -C14)
V180 = (-C33,  C18,  C14)
V181 = (-C33,  C18, -C14)
V182 = (-C33, -C18,  C14)
V183 = (-C33, -C18, -C14)
V184 = ( C14,  C33,  C18)
V185 = ( C14,  C33, -C18)
V186 = ( C14, -C33,  C18)
V187 = ( C14, -C33, -C18)
V188 = (-C14,  C33,  C18)
V189 = (-C14,  C33, -C18)
V190 = (-C14, -C33,  C18)
V191 = (-C14, -C33, -C18)
V192 = (  C3,  C23,  C32)
V193 = (  C3,  C23, -C32)
V194 = (  C3, -C23,  C32)
V195 = (  C3, -C23, -C32)
V196 = ( -C3,  C23,  C32)
V197 = ( -C3,  C23, -C32)
V198 = ( -C3, -C23,  C32)
V199 = ( -C3, -C23, -C32)
V200 = ( C32,   C3,  C23)
V201 = ( C32,   C3, -C23)
V202 = ( C32,  -C3,  C23)
V203 = ( C32,  -C3, -C23)
V204 = (-C32,   C3,  C23)
V205 = (-C32,   C3, -C23)
V206 = (-C32,  -C3,  C23)
V207 = (-C32,  -C3, -C23)
V208 = ( C23,  C32,   C3)
V209 = ( C23,  C32,  -C3)
V210 = ( C23, -C32,   C3)
V211 = ( C23, -C32,  -C3)
V212 = (-C23,  C32,   C3)
V213 = (-C23,  C32,  -C3)
V214 = (-C23, -C32,   C3)
V215 = (-C23, -C32,  -C3)
V216 = ( C24,  0.0,  C31)
V217 = ( C24,  0.0, -C31)
V218 = (-C24,  0.0,  C31)
V219 = (-C24,  0.0, -C31)
V220 = ( C31,  C24,  0.0)
V221 = ( C31, -C24,  0.0)
V222 = (-C31,  C24,  0.0)
V223 = (-C31, -C24,  0.0)
V224 = ( 0.0,  C31,  C24)
V225 = ( 0.0,  C31, -C24)
V226 = ( 0.0, -C31,  C24)
V227 = ( 0.0, -C31, -C24)
V228 = ( C22,   C8,  C30)
V229 = ( C22,   C8, -C30)
V230 = ( C22,  -C8,  C30)
V231 = ( C22,  -C8, -C30)
V232 = (-C22,   C8,  C30)
V233 = (-C22,   C8, -C30)
V234 = (-C22,  -C8,  C30)
V235 = (-C22,  -C8, -C30)
V236 = ( C30,  C22,   C8)
V237 = ( C30,  C22,  -C8)
V238 = ( C30, -C22,   C8)
V239 = ( C30, -C22,  -C8)
V240 = (-C30,  C22,   C8)
V241 = (-C30,  C22,  -C8)
V242 = (-C30, -C22,   C8)
V243 = (-C30, -C22,  -C8)
V244 = (  C8,  C30,  C22)
V245 = (  C8,  C30, -C22)
V246 = (  C8, -C30,  C22)
V247 = (  C8, -C30, -C22)
V248 = ( -C8,  C30,  C22)
V249 = ( -C8,  C30, -C22)
V250 = ( -C8, -C30,  C22)
V251 = ( -C8, -C30, -C22)
V252 = ( 0.0,  C26,  C29)
V253 = ( 0.0,  C26, -C29)
V254 = ( 0.0, -C26,  C29)
V255 = ( 0.0, -C26, -C29)
V256 = ( C29,  0.0,  C26)
V257 = ( C29,  0.0, -C26)
V258 = (-C29,  0.0,  C26)
V259 = (-C29,  0.0, -C26)
V260 = ( C26,  C29,  0.0)
V261 = ( C26, -C29,  0.0)
V262 = (-C26,  C29,  0.0)
V263 = (-C26, -C29,  0.0)
V264 = ( C17,  C19,  C28)
V265 = ( C17,  C19, -C28)
V266 = ( C17, -C19,  C28)
V267 = ( C17, -C19, -C28)
V268 = (-C17,  C19,  C28)
V269 = (-C17,  C19, -C28)
V270 = (-C17, -C19,  C28)
V271 = (-C17, -C19, -C28)
V272 = ( C28,  C17,  C19)
V273 = ( C28,  C17, -C19)
V274 = ( C28, -C17,  C19)
V275 = ( C28, -C17, -C19)
V276 = (-C28,  C17,  C19)
V277 = (-C28,  C17, -C19)
V278 = (-C28, -C17,  C19)
V279 = (-C28, -C17, -C19)
V280 = ( C19,  C28,  C17)
V281 = ( C19,  C28, -C17)
V282 = ( C19, -C28,  C17)
V283 = ( C19, -C28, -C17)
V284 = (-C19,  C28,  C17)
V285 = (-C19,  C28, -C17)
V286 = (-C19, -C28,  C17)
V287 = (-C19, -C28, -C17)
V288 = (  C9,  C25,  C27)
V289 = (  C9,  C25, -C27)
V290 = (  C9, -C25,  C27)
V291 = (  C9, -C25, -C27)
V292 = ( -C9,  C25,  C27)
V293 = ( -C9,  C25, -C27)
V294 = ( -C9, -C25,  C27)
V295 = ( -C9, -C25, -C27)
V296 = ( C27,   C9,  C25)
V297 = ( C27,   C9, -C25)
V298 = ( C27,  -C9,  C25)
V299 = ( C27,  -C9, -C25)
V300 = (-C27,   C9,  C25)
V301 = (-C27,   C9, -C25)
V302 = (-C27,  -C9,  C25)
V303 = (-C27,  -C9, -C25)
V304 = ( C25,  C27,   C9)
V305 = ( C25,  C27,  -C9)
V306 = ( C25, -C27,   C9)
V307 = ( C25, -C27,  -C9)
V308 = (-C25,  C27,   C9)
V309 = (-C25,  C27,  -C9)
V310 = (-C25, -C27,   C9)
V311 = (-C25, -C27,  -C9)
